name,teacherName,schoolName,schoolSN,id,url
Java核心技术,陈良育,华东师范大学,ECNU,1002842004,https://www.icourse163.org/course/ECNU-1002842004
零基础学Java语言,翁恺,浙江大学,ZJU,1001541001,https://www.icourse163.org/course/ZJU-1001541001
离散数学,王丽杰,电子科技大学,UESTC,1002268006,https://www.icourse163.org/course/UESTC-1002268006
数据结构,耿国华,西北大学,NWU,298002,https://www.icourse163.org/course/NWU-298002
大学计算机基础,赵柱,河西学院,HXU,1002731010,https://www.icourse163.org/course/HXU-1002731010
计算机网络,李全龙,哈尔滨工业大学,HIT,154005,https://www.icourse163.org/course/HIT-154005
大数据与法律检索,黄文旭,湖南师范大学,HUNNU,1452634174,https://www.icourse163.org/course/HUNNU-1452634174
音频音乐与计算机的交融-音频音乐技术,李伟,复旦大学,FUDAN,1462119161,https://www.icourse163.org/course/FUDAN-1462119161
计算机专业导论,战德臣,哈尔滨工业大学,HIT,437006,https://www.icourse163.org/course/HIT-437006
程序设计与算法（二）算法基础,郭炜,北京大学,PKU,1001894005,https://www.icourse163.org/course/PKU-1001894005
计算机组成原理（上）,刘宏伟,哈尔滨工业大学,HIT,309001,https://www.icourse163.org/course/HIT-309001
计算机操作系统,骆斌,南京大学,NJU,1001571004,https://www.icourse163.org/course/NJU-1001571004
人工智能导论,王万良,浙江工业大学,ZJUT,1002694018,https://www.icourse163.org/course/ZJUT-1002694018
计算机硬件系统设计,谭志虎,华中科技大学,HUST,1205809816,https://www.icourse163.org/course/HUST-1205809816
软件项目管理,韩万江,北京邮电大学,BUPT,1003557005,https://www.icourse163.org/course/BUPT-1003557005
数据结构与算法,林劼,电子科技大学,UESTC,1002532005,https://www.icourse163.org/course/UESTC-1002532005
推荐系统,刘宏志,北京大学,PKU,1464038187,https://www.icourse163.org/course/PKU-1464038187
程序设计基础,赵彦,江苏信息职业技术学院,JSIT,1001754038,https://www.icourse163.org/course/JSIT-1001754038
C语言程序设计,王春梅,西安邮电大学,XIYOU,1003110002,https://www.icourse163.org/course/XIYOU-1003110002
计算机网络,钱燕,南京农业大学,NJAU,1001752039,https://www.icourse163.org/course/NJAU-1001752039
现代密码学,聂旭云,电子科技大学,UESTC,1003046001,https://www.icourse163.org/course/UESTC-1003046001
深度学习及其应用,赵卫东,复旦大学,FUDAN,1205806833,https://www.icourse163.org/course/FUDAN-1205806833
C++程序设计（面向对象进阶）,崔毅东,北京邮电大学,BUPT,1003564002,https://www.icourse163.org/course/BUPT-1003564002
程序设计基础（C&C++）,戴波,电子科技大学,UESTC,1001774006,https://www.icourse163.org/course/UESTC-1001774006
程序设计入门——C语言,翁恺,浙江大学,ZJU,199001,https://www.icourse163.org/course/ZJU-199001
大学计算机基础,周海芳,国防科技大学,NUDT,17003,https://www.icourse163.org/course/NUDT-17003
大数据与金融,彭俞超,中央财经大学,CUFE,1461791176,https://www.icourse163.org/course/CUFE-1461791176
数据库与商业智能,石嘉明,北京语言大学,BLCU,1205702808,https://www.icourse163.org/course/BLCU-1205702808
计算机组成原理（下）,刘宏伟,哈尔滨工业大学,HIT,1001527001,https://www.icourse163.org/course/HIT-1001527001
数据结构,陈卫卫,中国人民解放军陆军工程大学,PAEU,1001660013,https://www.icourse163.org/course/PAEU-1001660013
